step,agent_id,x,y,z,vx,vy,vz,speed,u_x,u_y,u_z,is_leader,leader_group,neighbor_count,local_density,scenario_label,near_boundary
0,1,24.810951958339842,48.13941173955528,7.3159745743718245,-0.7801292766729951,0.6162269232585159,0.10799393839013753,1.0,-0.7801292766729951,0.6162269232585159,0.10799393839013753,0,-1,0,0.0,jamming,1
0,2,48.389788899484415,15.322130144827915,21.061700269860832,0.9573165426222211,-0.2694424556963582,-0.10462217876795132,0.9999999999999999,0.9573165426222212,-0.2694424556963583,-0.10462217876795134,0,-1,2,0.000477464829275686,jamming,1
0,3,41.9359180929764,19.855878562356754,28.055637156697962,0.5507884019543167,-0.6040782561013095,0.5759527730449875,1.0,0.5507884019543167,-0.6040782561013095,0.5759527730449875,0,-1,1,0.000238732414637843,jamming,1
0,4,2.122183395296233,37.012295610584346,26.985132488804766,0.7442277331428142,-0.6633598231559875,0.07796682784085265,1.0,0.7442277331428142,-0.6633598231559875,0.07796682784085265,0,-1,1,0.000238732414637843,jamming,1
0,5,15.630421276427146,39.89770922245222,15.360104370725885,-0.8561645485274627,0.47627405103201065,0.20036290614363644,1.0,-0.8561645485274627,0.47627405103201065,0.20036290614363644,1,0,1,0.000238732414637843,jamming,0
0,6,22.320179056385136,7.607709993162079,19.923227088179672,-0.35471541764743897,0.905625130803841,-0.23242223417678615,1.0,-0.35471541764743897,0.905625130803841,-0.23242223417678615,0,-1,0,0.0,jamming,1
0,7,9.344083978548166,13.367244834927876,37.01823234668368,-0.8286780552593137,0.25157781283539976,-0.5000012848189475,0.9999999999999999,-0.8286780552593138,0.2515778128353998,-0.5000012848189476,0,-1,1,0.000238732414637843,jamming,1
0,8,14.754495936662298,23.89936671327484,48.46116239698138,0.7340580373603027,-0.36018200830691055,-0.5756975930805522,1.0,0.7340580373603027,-0.36018200830691055,-0.5756975930805522,0,-1,0,0.0,jamming,1
0,9,48.00818429876631,37.20564022998314,26.814379377546057,-0.0746753844230323,0.9661431913064585,-0.24696339982565116,1.0,-0.0746753844230323,0.9661431913064585,-0.24696339982565116,0,-1,1,0.000238732414637843,jamming,1
0,10,14.811376203849155,7.824735661988116,48.347747754604356,0.9668160015806139,-0.2078647767682273,-0.14852290620227335,0.9999999999999999,0.966816001580614,-0.20786477676822732,-0.14852290620227337,0,-1,1,0.000238732414637843,jamming,1
0,11,25.871605226574264,4.896234795868489,30.737840524492555,0.06817594918032857,-0.897045827670027,-0.4366472523824665,1.0,0.06817594918032857,-0.897045827670027,-0.4366472523824665,0,-1,0,0.0,jamming,1
0,12,38.99746609265962,31.368512576514846,45.18864078951275,0.1633103755447233,0.7183475238628201,-0.6762444500323801,0.9999999999999999,0.16331037554472333,0.7183475238628202,-0.6762444500323802,0,-1,1,0.000238732414637843,jamming,1
0,13,1.2845963056788277,27.01026280868884,23.390563782212286,-0.6950475275313154,0.5807996456877591,0.4237696379421003,1.0,-0.6950475275313154,0.5807996456877591,0.4237696379421003,0,-1,1,0.000238732414637843,jamming,1
0,14,2.73832691743032,32.936323642645235,42.947064339604644,-0.37915204006346,0.8699151856764892,0.31542241557181033,1.0,-0.37915204006346,0.8699151856764892,0.31542241557181033,1,1,2,0.000477464829275686,jamming,1
